,actual,country,date,forecast,impact,new,previous,time
1621,54.4,EUR,"Tuesday, July 24, 2018",55.0,Medium,EUR Markit Eurozone Services PMI (JUL P),55.2,08:00
1622,54.3,EUR,"Tuesday, July 24, 2018",54.8,Medium,EUR Markit Eurozone Composite PMI (JUL P),54.9,08:00
1623,11,GBP,"Tuesday, July 24, 2018",9,Low,GBP CBI Trends Total Orders (JUL),13,10:00
1624,13,GBP,"Tuesday, July 24, 2018",15,Low,GBP CBI Trends Selling Prices (JUL),13,10:00
1625,-3,GBP,"Tuesday, July 24, 2018",-6,Low,GBP CBI Business Optimism (JUL),-4,10:00
1626,0.2%,USD,"Tuesday, July 24, 2018",0.3%,Medium,USD House Price Index (MoM) (MAY),0.2%,13:00
1627,55.5,USD,"Tuesday, July 24, 2018",55.1,Medium,USD Markit US Manufacturing PMI (JUL P),55.4,13:45
1628,56.2,USD,"Tuesday, July 24, 2018",56.3,Medium,USD Markit US Services PMI (JUL P),56.5,13:45
1629,55.9,USD,"Tuesday, July 24, 2018",,Medium,USD Markit US Composite PMI (JUL P),56.2,13:45
1630,20,USD,"Tuesday, July 24, 2018",18,Low,USD Richmond Fed Manufact. Index (JUL),21,14:00
1631,,USD,"Tuesday, July 24, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
1632,,USD,"Tuesday, July 24, 2018",,Low,USD U.S. to Sell USD35 Bln 2-Year Notes,,17:00
1633,-113m,NZD,"Tuesday, July 24, 2018",200m,Medium,NZD Trade Balance (JUN),208m,22:45
1634,4.91b,NZD,"Tuesday, July 24, 2018",5.06b,Low,NZD Exports (JUN),5.35b,22:45
1635,5.02b,NZD,"Tuesday, July 24, 2018",4.92b,Low,NZD Imports (JUN),5.15b,22:45
1636,-4031m,NZD,"Tuesday, July 24, 2018",-3681m,Medium,NZD Trade Balance 12 Mth YTD (JUN),-3675m,22:45
1637,-1.0,AUD,"Wednesday, July 25, 2018",,Low,AUD Skilled Vacancies (MoM) (JUN),-1.2,01:00
1638,,JPY,"Wednesday, July 25, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
1639,,JPY,"Wednesday, July 25, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
1640,0.4%,AUD,"Wednesday, July 25, 2018",0.5%,Medium,AUD Consumer Prices Index (QoQ) (2Q),0.4%,01:30
1641,2.1%,AUD,"Wednesday, July 25, 2018",2.2%,High,AUD Consumer Prices Index (YoY) (2Q),1.9%,01:30
1642,0.5%,AUD,"Wednesday, July 25, 2018",0.5%,Medium,AUD Consumer Prices Index Trimmed Mean (QoQ) (2Q),0.6%,01:30
1643,1.9%,AUD,"Wednesday, July 25, 2018",1.9%,Medium,AUD Consumer Prices Index Trimmed Mean (YoY) (2Q),1.9%,01:30
1644,0.5%,AUD,"Wednesday, July 25, 2018",0.5%,Medium,AUD Consumer Prices Index RBA Weighted Median (QoQ) (2Q),0.5%,01:30
1645,1.9%,AUD,"Wednesday, July 25, 2018",1.9%,Medium,AUD Consumer Prices Index RBA Weighted Median (YoY) (2Q),2.1%,01:30
1646,4.4%,EUR,"Wednesday, July 25, 2018",4.0%,Low,EUR Euro-Zone M3 Money Supply (YoY) (JUN),4.0%,08:00
1647,101.7,EUR,"Wednesday, July 25, 2018",101.5,Medium,EUR German IFO Business Climate (JUL),101.8,08:00
1648,98.2,EUR,"Wednesday, July 25, 2018",98.1,Medium,EUR German IFO Expectations (JUL),98.5,08:00
1649,105.3,EUR,"Wednesday, July 25, 2018",104.9,Medium,EUR German IFO Current Assessment (JUL),105.2,08:00
1650,-4,CHF,"Wednesday, July 25, 2018",,Low,CHF Credit Suisse Survey Expectations (JUL),8,08:00
1651,40541,GBP,"Wednesday, July 25, 2018",39000,Medium,GBP BBA Loans for House Purchase (JUN),39528,08:30
1652,20,GBP,"Wednesday, July 25, 2018",15,Low,GBP CBI Reported Sales (JUL),32,10:00
1653,25,GBP,"Wednesday, July 25, 2018",,Low,GBP CBI Total Dist. Reported Sales (JUL),18,10:00
1654,-0.2%,USD,"Wednesday, July 25, 2018",,Medium,USD MBA Mortgage Applications (JUL 20),-2.5%,11:00
1655,631k,USD,"Wednesday, July 25, 2018",668k,Low,USD New Home Sales (JUN),666k,14:00
1656,-5.3%,USD,"Wednesday, July 25, 2018",-3.1%,Medium,USD New Home Sales (MoM) (JUN),3.9%,14:00
1657,-6147k,USD,"Wednesday, July 25, 2018",-3000k,Medium,USD DOE U.S. Crude Oil Inventories (JUL 20),5836k,14:30
1658,-1127k,USD,"Wednesday, July 25, 2018",,Low,USD DOE Cushing OK Crude Inventory (JUL 20),-860k,14:30
1659,-2328k,USD,"Wednesday, July 25, 2018",-1092k,Low,USD DOE U.S. Gasoline Inventories (JUL 20),-3165k,14:30
1660,-101k,USD,"Wednesday, July 25, 2018",550k,Low,USD DOE U.S. Distillate Inventory (JUL 20),-371k,14:30
1661,,USD,"Wednesday, July 25, 2018",,Low,USD U.S. to Sell USD18 Bln 2-Year Floating Rate Notes Reopening,,15:30
1662,,USD,"Wednesday, July 25, 2018",,Low,USD U.S. to Sell USD36 Bln 5-Year Notes,,17:00
1663,,EU's,"Wednesday, July 25, 2018",,High,EU's Juncker to Deliver Keynote Speech on EU-US Relations,,20:00
1664,-¥209.2b,JPY,"Wednesday, July 25, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (JUL 20),-¥5.6b,23:50
1665,1.2%,JPY,"Wednesday, July 25, 2018",1.0%,Low,JPY Corporate Service Price (YoY) (JUN),1.0%,23:50
1666,¥173.5b,JPY,"Wednesday, July 25, 2018",,Low,JPY Foreign Buying Japan Stocks (JUL 20),¥601.4b,23:50
1667,¥69.2b,JPY,"Wednesday, July 25, 2018",,Low,JPY Foreign Buying Japan Bonds (JUL 20),¥653.6b,23:50
1668,¥151.9b,JPY,"Wednesday, July 25, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (JUL 20),¥273.0b,23:50
1669,1.81%,CNY,"Thursday, July 26, 2018",,Low,CNY Swift Global Payments CNY (JUN),1.9%,01:00
1670,3.2%,AUD,"Thursday, July 26, 2018",1.9%,Low,AUD Import Price index (QoQ) (2Q),2.1%,01:30
1671,1.9%,AUD,"Thursday, July 26, 2018",-1.3%,Low,AUD Export Price Index (QoQ) (2Q),4.9%,01:30
1672,10.6,EUR,"Thursday, July 26, 2018",10.7,Medium,EUR German GfK Consumer Confidence (AUG),10.7,06:00
1673,56.8,CAD,"Thursday, July 26, 2018",,Low,CAD CFIB Business Barometer (JUL),62.2,10:00
1674,0.00%,EUR,"Thursday, July 26, 2018",0.00%,High,EUR European Central Bank Rate Decision (JUL 26),0.00%,11:45
1675,0.25%,EUR,"Thursday, July 26, 2018",0.25%,High,EUR ECB Marginal Lending Facility (JUL 26),0.25%,11:45
1676,-0.40%,EUR,"Thursday, July 26, 2018",-0.40%,High,EUR ECB Deposit Facility Rate (JUL 26),-0.40%,11:45
1677,,EUR,"Thursday, July 26, 2018",,High,EUR ECB President Draghi Holds Press Conference in Frankfurt,,12:30
1678,-$68.3b,USD,"Thursday, July 26, 2018",-$67.0b,High,USD Advance Goods Trade Balance (JUN),-$64.8b,12:30
1679,0.0%,USD,"Thursday, July 26, 2018",0.3%,Medium,USD Wholesale Inventories (MoM) (JUN P),0.4%,12:30
1680,217k,USD,"Thursday, July 26, 2018",215k,Medium,USD Initial Jobless Claims (JUL 21),208k,12:30
1681,1745k,USD,"Thursday, July 26, 2018",1733k,Medium,USD Continuing Claims (JUL 14),1753k,12:30
1682,0.0%,USD,"Thursday, July 26, 2018",,Low,USD Retail Inventories (MoM) (JUN),0.4%,12:30
1683,1.0%,USD,"Thursday, July 26, 2018",3.0%,Medium,USD Durable Goods Orders (JUN P),-0.3%,12:30
1684,0.4%,USD,"Thursday, July 26, 2018",0.5%,Medium,USD Durables Ex Transportation (JUN P),0.3%,12:30
1685,0.6%,USD,"Thursday, July 26, 2018",0.5%,Low,USD Cap Goods Orders Nondef Ex Air (JUN P),0.7%,12:30
1686,1.0%,USD,"Thursday, July 26, 2018",0.4%,Low,USD Cap Goods Ship Nondef Ex Air (JUN P),0.2%,12:30
1687,24,USD,"Thursday, July 26, 2018",35,Low,USD EIA Working Natural Gas Implied Flow (JUL 20),46,14:30
1688,24,USD,"Thursday, July 26, 2018",35,Low,USD EIA Natural Gas Storage Change (JUL 20),46,14:30
1689,23,USD,"Thursday, July 26, 2018",25,Low,USD Kansas City Fed Manf. Activity (JUL),28,15:00
1690,,USD,"Thursday, July 26, 2018",,Low,USD U.S. to Sell USD30 Bln 7-Year Notes,,17:00
1691,118.4,NZD,"Thursday, July 26, 2018",,Low,NZD ANZ Consumer Confidence Index (JUL),120,22:00
1692,-1.3%,NZD,"Thursday, July 26, 2018",,Low,NZD ANZ Consumer Confidence (MoM) (JUL),-0.8%,22:00
1693,0.9%,JPY,"Thursday, July 26, 2018",0.7%,Low,JPY Tokyo Consumer Price Index (YoY) (JUL),0.6%,23:30
1694,0.8%,JPY,"Thursday, July 26, 2018",0.7%,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (JUL),0.7%,23:30
1695,0.5%,JPY,"Thursday, July 26, 2018",0.4%,Low,"JPY Tokyo CPI Ex-Fresh Food, Energy (YoY) (JUL)",0.4%,23:30
1696,,JPY,"Friday, July 27, 2018",,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,01:10
1697,,JPY,"Friday, July 27, 2018",,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,01:10
1698,,JPY,"Friday, July 27, 2018",,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,01:10
1699,0.3%,AUD,"Friday, July 27, 2018",,Low,AUD Producer Price Index (QoQ) (2Q),0.5%,01:30
1700,1.5%,AUD,"Friday, July 27, 2018",,Low,AUD Producer Price Index (YoY) (2Q),1.7%,01:30
1701,20.0%,CNY,"Friday, July 27, 2018",,Low,CNY Industrial Profits (YoY) (JUN),21.1%,01:30
1702,0.2%,EUR,"Friday, July 27, 2018",0.3%,Low,EUR French Gross Domestic Product (QoQ) (2Q A),0.2%,05:30
1703,1.7%,EUR,"Friday, July 27, 2018",1.9%,Medium,EUR French Gross Domestic Product (YoY) (2Q A),2.2%,05:30
1704,0.5%,EUR,"Friday, July 27, 2018",0.3%,Low,EUR German Import Price Index (MoM) (JUN),1.6%,06:00
1705,4.8%,EUR,"Friday, July 27, 2018",4.5%,Low,EUR German Import Price Index (YoY) (JUN),3.2%,06:00
1706,,EUR,"Friday, July 27, 2018",,Medium,EUR ECB Survey of Professional Forecasters,,08:00
1707,,USD,"Friday, July 27, 2018",,Low,USD Revisions: GDP,,12:30
1708,4.1%,USD,"Friday, July 27, 2018",4.2%,High,USD Gross Domestic Product Annualized (QoQ) (2Q A),2.2%,12:30
1709,4.0%,USD,"Friday, July 27, 2018",3.0%,Medium,USD Personal Consumption (2Q A),0.5%,12:30
1710,3.0%,USD,"Friday, July 27, 2018",2.3%,High,USD Gross Domestic Product Price Index (2Q A),2.0%,12:30
1711,2.0%,USD,"Friday, July 27, 2018",2.2%,Medium,USD Core PCE (QoQ) (2Q A),2.2%,12:30
1712,97.9,USD,"Friday, July 27, 2018",97.1,Medium,USD U. of Mich. Sentiment (JUL F),98.2,14:00
1713,114.4,USD,"Friday, July 27, 2018",,Low,USD U. of Mich. Current Conditions (JUL F),116.5,14:00
1714,87.3,USD,"Friday, July 27, 2018",,Low,USD U. of Mich. Expectations (JUL F),86.3,14:00
1715,2.9%,USD,"Friday, July 27, 2018",,Low,USD U. of Mich. 1 Yr Inflation (JUL F),3.0%,14:00
1716,2.4%,USD,"Friday, July 27, 2018",,Low,USD U. of Mich. 5-10 Yr Inflation (JUL F),2.6%,14:00
1717,1048,USD,"Friday, July 27, 2018",,Medium,USD Baker Hughes U.S. Rig Count (JUL 27),1046,17:00
1718,,JPY,"Tuesday, July 17, 2018",,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,01:10
1719,,JPY,"Tuesday, July 17, 2018",,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,01:10
1720,,AUD,"Tuesday, July 17, 2018",,Medium,AUD RBA July Meeting Minutes,,01:30
1721,1.11%,CNY,"Tuesday, July 17, 2018",,Medium,CNY New Home Prices (MoM) (JUN),0.8%,01:30
1722,58.1%,NZD,"Tuesday, July 17, 2018",,Low,NZD Non Resident Bond Holdings (JUN),58.9%,03:00
1723,16.4%,JPY,"Tuesday, July 17, 2018",,Low,JPY Tokyo Condominium Sales (YoY) (JUN),-5.4%,04:00
1724,,EUR,"Tuesday, July 17, 2018",,Low,EUR EU 25 New Car Registrations (JUN),0.8%,06:00
1725,,GBP,"Tuesday, July 17, 2018",,High,"GBP BOE's Carney, Cunliffe, Stheeman Speak on Financial Stability",,08:00
1726,2.5%,GBP,"Tuesday, July 17, 2018",,Medium,GBP Claimant Count Rate (JUN),2.5%,08:30
1727,+7.8k,GBP,"Tuesday, July 17, 2018",,Medium,GBP Jobless Claims Change (JUN),-3.0k,08:30
1728,2.5%,GBP,"Tuesday, July 17, 2018",2.5%,Medium,GBP Average Weekly Earnings (3M/YoY) (MAY),2.6%,08:30
1729,2.7%,GBP,"Tuesday, July 17, 2018",2.7%,Medium,GBP Weekly Earnings ex Bonus (3M/YoY) (MAY),2.8%,08:30
1730,4.2%,GBP,"Tuesday, July 17, 2018",4.2%,Medium,GBP ILO Unemployment Rate 3Mths (MAY),4.2%,08:30
1731,137k,GBP,"Tuesday, July 17, 2018",115k,Medium,GBP Employment Change 3M/3M (MAY),146k,08:30
1732,1.4%,CAD,"Tuesday, July 17, 2018",0.5%,Low,CAD Manufacturing Sales (MoM) (MAY),-1.1%,12:30
1733,0.6,USD,"Tuesday, July 17, 2018",0.5%,Medium,USD Industrial Production (MoM) (JUN),-0.5%,13:15
1734,0.8,USD,"Tuesday, July 17, 2018",0.7%,Medium,USD Manufacturing (SIC) Production (JUN),-1.0%,13:15
1735,78.0%,USD,"Tuesday, July 17, 2018",78.3%,Low,USD Capacity Utilization (JUN),77.7%,13:15
1736,68,USD,"Tuesday, July 17, 2018",68,Medium,USD NAHB Housing Market Index (JUL),68,14:00
1737,,USD,"Tuesday, July 17, 2018",,High,USD Powell to Deliver Semi-Annual Testimony Before Senate Panel,,14:00
1738,$3222,NZD,"Tuesday, July 17, 2018",,Medium,NZD Dairy Auction Avg. Winning Price MT (JUL 17),$3232,14:25
1739,$2973,NZD,"Tuesday, July 17, 2018",,Medium,NZD Dairy Auction Whole Milk Powder MT (JUL 17),$2905,14:25
1740,,USD,"Tuesday, July 17, 2018",,Low,USD U.S. to Sell USD26 Bln 52-Week Bills,,15:30
1741,,USD,"Tuesday, July 17, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
1742,$69.9b,USD,"Tuesday, July 17, 2018",,Low,USD Total Net TIC Flows (MAY),$233.1b,20:00
1743,$45.6b,USD,"Tuesday, July 17, 2018",,Medium,USD Net Long-term TIC Flows (MAY),$94.0b,20:00
1744,0.01%,AUD,"Wednesday, July 18, 2018",,Medium,AUD Westpac Leading Index (MoM) (JUN),-0.23%,00:30
1745,2.3%,GBP,"Wednesday, July 18, 2018",2.5%,Medium,GBP CPIH (YoY) (JUN),2.3%,08:30
1746,0.0%,GBP,"Wednesday, July 18, 2018",0.2%,Medium,GBP Consumer Price Index (MoM) (JUN),0.4%,08:30
1747,2.4%,GBP,"Wednesday, July 18, 2018",2.6%,High,GBP Consumer Price Index (YoY) (JUN),2.4%,08:30
1748,1.9%,GBP,"Wednesday, July 18, 2018",2.1%,High,GBP Core Consumer Price Index (YoY) (JUN),2.1%,08:30
1749,281.5,GBP,"Wednesday, July 18, 2018",281.9,Low,GBP Retail Price Index (JUN),280.7,08:30
1750,0.3%,GBP,"Wednesday, July 18, 2018",0.4%,Low,GBP Retail Price Index (MoM) (JUN),0.4%,08:30
1751,3.4%,GBP,"Wednesday, July 18, 2018",3.5%,Low,GBP Retail Price Index (YoY) (JUN),3.3%,08:30
1752,3.4%,GBP,"Wednesday, July 18, 2018",3.6%,Low,GBP Retail Price Index Ex Mort Int.Payments (YoY) (JUN),3.4%,08:30
1753,0.2%,GBP,"Wednesday, July 18, 2018",0.4%,Low,GBP Producer Price Index Input n.s.a. (MoM) (JUN),3.3%,08:30
1754,10.0%,GBP,"Wednesday, July 18, 2018",10.1%,Low,GBP Producer Price Index Input n.s.a. (YoY) (JUN),9.6%,08:30
1755,0.3%,GBP,"Wednesday, July 18, 2018",0.3%,Low,GBP Producer Price Index Output n.s.a. (MoM) (JUN),0.5%,08:30
1756,3.1%,GBP,"Wednesday, July 18, 2018",3.2%,Low,GBP Producer Price Index Output n.s.a. (YoY) (JUN),3.0%,08:30
1757,0.2%,GBP,"Wednesday, July 18, 2018",0.2%,Low,GBP Producer Price Index Output Core n.s.a. (MoM) (JUN),0.2%,08:30
1758,2.1%,GBP,"Wednesday, July 18, 2018",2.1%,Low,GBP Producer Price Index Output Core n.s.a. (YoY) (JUN),2.1%,08:30
1759,3.0%,GBP,"Wednesday, July 18, 2018",3.7%,Medium,GBP House Price Index (YoY) (MAY),3.5%,08:30
1760,0.3%,EUR,"Wednesday, July 18, 2018",,Low,EUR Euro-Zone Construction Output s.a. (MoM) (MAY),1.4%,09:00
1761,1.8%,EUR,"Wednesday, July 18, 2018",,Low,EUR Euro-Zone Construction Output w.d.a. (YoY) (MAY),1.2%,09:00
1762,0.9%,EUR,"Wednesday, July 18, 2018",1.0%,Medium,EUR Euro-Zone Consumer Price Index Core (YoY) (JUN F),1.0%,09:00
1763,2.0%,EUR,"Wednesday, July 18, 2018",2.0%,Medium,EUR Euro-Zone Consumer Price Index (YoY) (JUN F),1.9%,09:00
1764,0.1%,EUR,"Wednesday, July 18, 2018",0.1%,Medium,EUR Euro-Zone Consumer Price Index (MoM) (JUN),0.5%,09:00
1765,-2.5%,USD,"Wednesday, July 18, 2018",,Medium,USD MBA Mortgage Applications (JUL 13),2.5%,11:00
1766,1173k,USD,"Wednesday, July 18, 2018",1320k,Low,USD Housing Starts (JUN),1337k,12:30
1767,-12.3%,USD,"Wednesday, July 18, 2018",-2.2%,Medium,USD Housing Starts (MoM) (JUN),4.8%,12:30
1768,1273k,USD,"Wednesday, July 18, 2018",1330k,Low,USD Building Permits (JUN),1301k,12:30
1769,-2.2%,USD,"Wednesday, July 18, 2018",2.2%,Medium,USD Building Permits (MoM) (JUN),-4.6%,12:30
1770,,USD,"Wednesday, July 18, 2018",,High,USD Fed Chairman Powell Appears Before House Panel,,14:00
1771,5836k,USD,"Wednesday, July 18, 2018",-4100k,Medium,USD DOE U.S. Crude Oil Inventories (JUL 13),-12633k,14:30
1772,-860k,USD,"Wednesday, July 18, 2018",,Low,USD DOE Cushing OK Crude Inventory (JUL 13),-2062k,14:30
1773,-3165k,USD,"Wednesday, July 18, 2018",-700k,Low,USD DOE U.S. Gasoline Inventories (JUL 13),-694k,14:30
1774,-371k,USD,"Wednesday, July 18, 2018",1176k,Low,USD DOE U.S. Distillate Inventory (JUL 13),4125k,14:30
1775,,USD,"Wednesday, July 18, 2018",,Medium,USD U.S. Federal Reserve Releases Beige Book,,18:00
1776,¥721.4b,JPY,"Wednesday, July 18, 2018",¥531.2b,Medium,JPY Trade Balance (JUN),-¥578.3b,23:50
1777,¥66.2b,JPY,"Wednesday, July 18, 2018",¥155.0b,Low,JPY Adjusted Merchandise Trade Balance (Yen) (JUN),-¥296.8b,23:50
1778,6.7%,JPY,"Wednesday, July 18, 2018",7.0%,Low,JPY Exports (YoY) (JUN),8.1%,23:50
1779,2.5%,JPY,"Wednesday, July 18, 2018",5.3%,Low,JPY Imports (YoY) (JUN),14.0%,23:50
1780,,JPY,"Thursday, July 19, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
1781,,JPY,"Thursday, July 19, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
1782,,JPY,"Thursday, July 19, 2018",,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,01:10
1783,7,AUD,"Thursday, July 19, 2018",,Medium,AUD NAB Business Confidence (2Q),8,01:30
1784,50.9k,AUD,"Thursday, July 19, 2018",16.5k,High,AUD Employment Change (JUN),13.4k,01:30
1785,5.4%,AUD,"Thursday, July 19, 2018",5.4%,High,AUD Unemployment Rate (JUN),5.4%,01:30
1786,41.2k,AUD,"Thursday, July 19, 2018",,Medium,AUD Full Time Employment Change (JUN),19.9k,01:30
1787,9.7k,AUD,"Thursday, July 19, 2018",,Low,AUD Part Time Employment Change (JUN),32.6k,01:30
1788,65.7%,AUD,"Thursday, July 19, 2018",65.5%,Low,AUD Participation Rate (JUN),65.5%,01:30
1789,A$1762m,AUD,"Thursday, July 19, 2018",,Low,AUD RBA Foreign Exchange Transaction (Australian dollar) (JUN),A$556m,01:30
1790,-A$1843m,AUD,"Thursday, July 19, 2018",,Low,AUD RBA FX Transactions Government (JUN),-A$672m,01:30
1791,A$4821m,AUD,"Thursday, July 19, 2018",,Low,AUD RBA FX Transactions Other (JUN),A$442m,01:30
1792,47.3b,CNY,"Thursday, July 19, 2018",,Low,CNY FX Net Settlement - Clients CNY (JUN),143.3b,02:00
1793,0.5%,CHF,"Thursday, July 19, 2018",,Low,CHF Exports (MoM) (JUN),0.0%,06:00
1794,0.4%,CHF,"Thursday, July 19, 2018",,Low,CHF Imports (MoM) (JUN),3.1%,06:00
1795,11.4%,JPY,"Thursday, July 19, 2018",,Low,JPY Machine Tool Orders (YoY) (JUN F),11.4%,06:00
1796,11.8%,CHF,"Thursday, July 19, 2018",,Low,CHF Swiss Watch Exports (YoY) (JUN),5.3%,06:00
1797,-0.5%,GBP,"Thursday, July 19, 2018",0.2%,Low,GBP Retail Sales Ex Auto Fuel (MoM) (JUN),1.4%,08:30
1798,3.0%,GBP,"Thursday, July 19, 2018",3.5%,Medium,GBP Retail Sales Ex Auto Fuel (YoY) (JUN),4.5%,08:30
1799,-0.5%,GBP,"Thursday, July 19, 2018",0.2%,Low,GBP Retail Sales Inc Auto Fuel (MoM) (JUN),1.4%,08:30
1800,2.9%,GBP,"Thursday, July 19, 2018",3.7%,Low,GBP Retail Sales Inc Auto Fuel (YoY) (JUN),4.1%,08:30
1801,,CAD,"Thursday, July 19, 2018",,Low,CAD ADP Publishes June Payrolls Report,,12:30
1802,207k,USD,"Thursday, July 19, 2018",220k,Medium,USD Initial Jobless Claims (JUL 14),215k,12:30
1803,1751k,USD,"Thursday, July 19, 2018",1729k,Medium,USD Continuing Claims (JUL 07),1743k,12:30
1804,25.7,USD,"Thursday, July 19, 2018",21.5,Medium,USD Philadelphia Fed Business Outlook (JUL),19.9,12:30
1805,,USD,"Thursday, July 19, 2018",,Low,USD Fed's Quarles Speaks on Alternative Reference Rates,,13:00
1806,0.5%,USD,"Thursday, July 19, 2018",0.4%,Medium,USD Leading Index (JUN),0.2%,14:00
1807,46,USD,"Thursday, July 19, 2018",56,Low,USD EIA Working Natural Gas Implied Flow (JUL 13),51,14:30
1808,46,USD,"Thursday, July 19, 2018",56,Low,USD EIA Natural Gas Storage Change (JUL 13),51,14:30
1809,,USD,"Thursday, July 19, 2018",,Low,USD U.S. to Sell USD13 Bln 10-Year TIPS,,17:00
1810,4840,NZD,"Thursday, July 19, 2018",,Low,NZD Net Migration s.a. (JUN),5090,22:45
1811,0.7%,JPY,"Thursday, July 19, 2018",0.8%,High,JPY National Consumer Price Index (YoY) (JUN),0.7%,23:30
1812,0.8%,JPY,"Thursday, July 19, 2018",0.8%,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (JUN),0.7%,23:30
1813,0.2%,JPY,"Thursday, July 19, 2018",0.4%,Medium,"JPY Natl CPI Ex Fresh Food, Energy (YoY) (JUN)",0.3%,23:30
1814,-¥5.6b,JPY,"Thursday, July 19, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (JUL 13),¥817.9b,23:50
1815,¥273.0b,JPY,"Thursday, July 19, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (JUL 13),¥380.9b,23:50
1816,¥601.4b,JPY,"Thursday, July 19, 2018",,Low,JPY Foreign Buying Japan Stocks (JUL 13),¥76.0b,23:50
1817,¥653.6b,JPY,"Thursday, July 19, 2018",,Low,JPY Foreign Buying Japan Bonds (JUL 13),¥230.68b,23:50
1818,2.1%,NZD,"Friday, July 20, 2018",,Low,NZD Credit Card Spending (MoM) (JUN),-1.6%,03:00
1819,5.7%,NZD,"Friday, July 20, 2018",,Medium,NZD Credit Card Spending (YoY) (JUN),3.7%,03:00
1820,1.0%,JPY,"Friday, July 20, 2018",0.0%,Medium,JPY All Industry Activity Index (MoM) (MAY),1.0%,04:30
1821,3.0%,EUR,"Friday, July 20, 2018",3.0%,Low,EUR German Producer Price Index (YoY) (JUN),2.7%,06:00
1822,0.3%,EUR,"Friday, July 20, 2018",0.3%,Low,EUR German Producer Price Index (MoM) (JUN),0.5%,06:00
1823,1.1%,JPY,"Friday, July 20, 2018",,Low,JPY Convenience Store Sales (YoY) (JUN),-1.2%,07:00
1824,4.6b,EUR,"Friday, July 20, 2018",,Low,EUR Euro-Zone Current Account s.a. (euros) (MAY),27.3b,08:00
1825,27.3b,EUR,"Friday, July 20, 2018",,Low,EUR Euro-Zone Current Account n.s.a. (euros) (MAY),29.6b,08:00
1826,13.3b,GBP,"Friday, July 20, 2018",,Medium,GBP Public Finances (PSNCR) (Pounds) (JUN),4.7b,08:30
1827,13.6b,GBP,"Friday, July 20, 2018",,Medium,GBP Central Government NCR (JUN),6.9b,08:30
1828,4.5b,GBP,"Friday, July 20, 2018",3.6b,Medium,GBP Public Sector Net Borrowing (JUN),3.9b,08:30
1829,5.4b,GBP,"Friday, July 20, 2018",5.0b,Medium,GBP PSNB ex Banking Groups (JUN),4.7b,08:30
1830,,USD,"Friday, July 20, 2018",,Low,USD Fed's Bullard Speaks on Economy and Monetary Policy,,12:00
1831,2.0%,CAD,"Friday, July 20, 2018",1.0%,Medium,CAD Retail Sales (MoM) (MAY),-0.9%,12:30
1832,1.4%,CAD,"Friday, July 20, 2018",0.5%,Low,CAD Retail Sales Ex Auto (MoM) (MAY),0.2%,12:30
1833,0.1%,CAD,"Friday, July 20, 2018",0.0%,Medium,CAD Consumer Price Index n.s.a. (MoM) (JUN),0.1%,12:30
1834,2.5%,CAD,"Friday, July 20, 2018",2.3%,High,CAD Consumer Price Index (YoY) (JUN),2.2%,12:30
1835,133.6,CAD,"Friday, July 20, 2018",133.4,Low,CAD Consumer Price Index (JUN),133.4,12:30
1836,1.9%,CAD,"Friday, July 20, 2018",1.9%,Low,CAD Consumer Price Index Core (YoY) (JUN),1.9%,12:30
1837,2.0%,CAD,"Friday, July 20, 2018",,Low,CAD CPI Core - Median (YoY) (JUN),2.0%,12:30
1838,2.0%,CAD,"Friday, July 20, 2018",,Low,CAD CPI Core - Trim (YoY) (JUN),1.9%,12:30
1839,1046,USD,"Friday, July 20, 2018",,Medium,USD Baker Hughes U.S. Rig Count (JUL 20),1054,17:00
1840,,JPY,"Monday, July 9, 2018",,High,JPY Kuroda speaks at Branch Managers' Meeting,,00:30
1841,$3112.13b,CNY,"Monday, July 9, 2018",$3101.80b,Low,CNY Foreign Reserves (JUN),$3110.62b,01:21
1842,-2.26%,JPY,"Monday, July 9, 2018",,Medium,JPY Bankruptcies (YoY) (JUN),-4.36%,04:30
1843,48.1,JPY,"Monday, July 9, 2018",48.1,Medium,JPY Eco Watchers Survey Current (JUN),47.1,05:00
1844,50.0,JPY,"Monday, July 9, 2018",50.1,Medium,JPY Eco Watchers Survey Outlook SA (JUN),49.2,05:00
1845,2.4%,CHF,"Monday, July 9, 2018",2.3%,Medium,CHF Unemployment Rate (JUN),2.4%,05:45
